City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vestmannaeyjar,IS,2021-12-11 20:51:14,63.4427,-20.2734,44.78,82,94,25.97
68,Upernavik,GL,2021-12-11 20:51:14,72.7868,-56.1549,3.15,92,100,9.93
69,Provideniya,RU,2021-12-11 20:51:15,64.3833,-173.3,-8.57,79,1,9.13
70,Udankudi,IN,2021-12-11 20:51:15,8.4333,78.0167,76.93,87,9,14.52
71,Manakara,MG,2021-12-11 20:51:16,-22.1333,48.0167,74.14,87,37,6.82
72,Yellowknife,CA,2021-12-11 20:46:59,62.456,-114.3525,0.41,91,75,20.71
73,Adrar,MR,2021-12-11 20:51:16,20.5022,-10.0711,68.36,16,75,10.31
74,Port Alfred,ZA,2021-12-11 20:51:16,-33.5906,26.891,69.85,89,100,6.67
75,Georgetown,MY,2021-12-11 20:48:18,5.4112,100.3354,79.9,81,20,1.99
76,Novopokrovka,UA,2021-12-11 20:51:17,49.8425,36.5477,32.38,87,98,10.31
77,East London,ZA,2021-12-11 20:51:17,-33.0153,27.9116,70.95,83,99,7.4
78,Beyneu,KZ,2021-12-11 20:51:17,45.3167,55.2,34.9,84,86,11.48
79,Chara,RU,2021-12-11 20:51:18,56.9064,118.2631,-20.47,74,76,2.39
80,Nikolskoye,RU,2021-12-11 20:51:18,59.7035,30.7861,26.49,88,100,9.71
81,Vao,NC,2021-12-11 20:51:18,-22.6667,167.4833,78.75,87,100,16.04
82,Hohhot,CN,2021-12-11 20:50:29,40.8106,111.6522,12.49,44,0,11.18
83,Olafsvik,IS,2021-12-11 20:51:19,64.8945,-23.7142,40.89,81,100,19.6
84,Palmer,US,2021-12-11 20:51:19,42.1584,-72.3287,59.27,85,100,8.01
85,Bredasdorp,ZA,2021-12-11 20:51:19,-34.5322,20.0403,60.28,69,50,3.36
86,Broken Hill,AU,2021-12-11 20:51:20,-31.95,141.4333,64.11,39,0,8.05
87,Nishihara,JP,2021-12-11 20:51:20,26.1842,127.7558,66.25,72,20,3.44
88,Bambous Virieux,MU,2021-12-11 20:51:20,-20.3428,57.7575,79.21,78,40,10.36
89,Kiunga,PG,2021-12-11 20:51:21,-6.1219,141.2906,73.98,100,100,3.27
90,Miraflores,MX,2021-12-11 20:51:21,19.2167,-98.8083,72.03,21,60,3.56
91,Ariquemes,BR,2021-12-11 20:51:21,-9.9133,-63.0408,80.89,87,96,3.8
92,Sembe,CG,2021-12-11 20:52:22,1.6481,14.5806,77.86,54,100,0.31
93,San Patricio,US,2021-12-11 20:52:22,28.017,-97.5169,64.38,29,98,18.9
94,Port Victoria,KE,2021-12-11 20:52:22,0.0939,33.9756,73.38,67,58,5.06
95,Havre-Saint-Pierre,CA,2021-12-11 20:52:23,50.2334,-63.5986,25.39,79,90,8.05
96,Sur,OM,2021-12-11 20:52:23,22.5667,59.5289,69.44,62,0,3.24
97,Witu,KE,2021-12-11 20:52:23,-2.3889,40.4382,80.76,84,22,7.54
98,Alofi,NU,2021-12-11 20:52:24,-19.0595,-169.9187,82.29,61,75,2.3
99,Baykit,RU,2021-12-11 20:52:24,61.67,96.37,-0.45,100,99,0.87
100,Margate,GB,2021-12-11 20:52:24,51.3813,1.3862,49.96,89,100,1.99
101,Talaya,RU,2021-12-11 20:52:25,61.3833,152.75,-26.1,100,100,0.04
