City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hilton Head Island,US,32.2163,-80.7526,68.11,89,1,17.27,clear sky
79,Waipawa,NZ,-41.4122,175.5153,56.3,76,100,6.85,overcast clouds
80,Ponta Do Sol,PT,32.6667,-17.1,65.01,78,59,3.62,broken clouds
81,Oussouye,SN,12.485,-16.5469,74.17,83,98,4.79,overcast clouds
82,Coquimbo,CL,-29.9533,-71.3436,60.53,82,0,6.91,clear sky
83,Georgetown,MY,5.4112,100.3354,82.33,74,20,1.01,few clouds
84,Maues,BR,-3.3836,-57.7186,74.44,97,100,2.04,overcast clouds
85,Hilo,US,19.7297,-155.09,76.73,40,90,6.91,light rain
86,Chokurdakh,RU,70.6333,147.9167,-47.22,99,88,2.48,overcast clouds
87,Mezen,RU,65.8522,44.24,10.94,89,100,7.47,overcast clouds
88,Pevek,RU,69.7008,170.3133,-34.92,98,40,5.35,scattered clouds
89,Vardo,NO,70.3705,31.1107,27.61,84,95,16.22,overcast clouds
90,Kavaratti,IN,10.5669,72.642,80.87,74,16,7.31,few clouds
91,Pitimbu,BR,-7.4706,-34.8086,79.7,72,3,13.11,clear sky
92,Guilin,CN,25.2819,110.2864,54.75,71,100,12.3,overcast clouds
93,Souillac,MU,-20.5167,57.5167,79.36,83,20,11.5,few clouds
94,Arua,UG,3.0201,30.9111,65.53,48,99,3.29,overcast clouds
95,Jacareacanga,BR,-6.2222,-57.7528,73.89,98,100,2.93,heavy intensity rain
96,Khatanga,RU,71.9667,102.5,-45.11,100,51,3.67,broken clouds
97,Mahebourg,MU,-20.4081,57.7,79.25,83,20,11.5,few clouds
98,Faanui,PF,-16.4833,-151.75,81.01,71,98,7.09,light rain
99,Victor Harbor,AU,-35.5667,138.6167,93.2,29,4,4.05,clear sky
100,Nara,JP,34.6851,135.8049,61.97,51,64,4.7,broken clouds
101,Butaritari,KI,3.0707,172.7902,82.47,74,100,17.56,overcast clouds
102,Zeya,RU,53.75,127.2667,6.57,67,100,5.21,overcast clouds
103,Houma,US,29.5958,-90.7195,60.01,63,87,17.0,overcast clouds
104,Nioro,GM,13.35,-15.75,72.3,70,99,5.86,overcast clouds
105,Katsuura,JP,35.1333,140.3,62.19,70,43,19.98,scattered clouds
106,Victoria,HK,22.2855,114.1577,71.96,77,1,4.0,clear sky
107,Nikolskoye,RU,59.7035,30.7861,26.49,90,100,7.9,overcast clouds
108,Hobart,AU,-42.8794,147.3294,68.02,50,75,3.0,broken clouds
109,Esperance,AU,-33.8667,121.9,64.24,69,71,19.22,broken clouds
110,Jamestown,US,42.097,-79.2353,40.59,81,90,8.01,overcast clouds
111,Christchurch,NZ,-43.5333,172.6333,57.47,66,90,5.01,overcast clouds
112,Panchagarh,BD,26.3313,88.562,62.62,56,0,3.36,clear sky
113,Enshi,CN,30.3,109.4833,46.27,94,100,3.31,overcast clouds
114,Ribeira Grande,PT,38.5167,-28.7,62.11,72,100,19.24,overcast clouds
115,Toowoomba,AU,-27.55,151.9667,76.24,62,14,3.0,few clouds
116,Kritsa,GR,35.1667,25.65,61.43,62,8,13.53,clear sky
117,Isangel,VU,-19.55,169.2667,83.62,78,100,12.82,overcast clouds
118,Mawlaik,MM,23.6333,94.4167,65.46,60,57,1.86,broken clouds
119,Karratha,AU,-20.7377,116.8463,100.13,21,58,9.42,broken clouds
120,George,ZA,-33.963,22.4617,60.93,78,20,2.48,few clouds
121,Talnakh,RU,69.4865,88.3972,-25.8,81,97,0.85,overcast clouds
122,Kodiak,US,57.79,-152.4072,9.91,56,20,36.82,few clouds
123,Ilulissat,GL,69.2167,-51.1,19.42,53,100,6.91,overcast clouds
124,Malanje,AO,-9.5402,16.341,64.18,99,100,3.87,light rain
125,Foumban,CM,5.7291,10.9001,65.1,44,90,3.15,overcast clouds
126,Ambikapur,IN,23.1167,83.2,54.03,59,0,2.37,clear sky
127,Banjar,ID,-8.19,114.9675,84.06,68,83,3.42,broken clouds
128,Lavrentiya,RU,65.5833,-171.0,-14.12,84,7,8.16,clear sky
129,Campoalegre,CO,2.6849,-75.3231,72.5,92,100,1.97,overcast clouds
130,Lebu,CL,-37.6167,-73.65,52.34,90,16,6.55,few clouds
131,Sanary-Sur-Mer,FR,43.1178,5.8001,42.76,60,50,7.11,scattered clouds
132,Newport,GB,51.5877,-2.9984,55.17,93,100,14.65,overcast clouds
133,Porto Novo,BJ,6.4965,2.6036,79.11,82,41,4.88,scattered clouds
134,Yar-Sale,RU,66.8333,70.8333,-4.16,100,88,1.3,overcast clouds
135,Garh Maharaja,PK,30.8339,71.9053,56.95,28,100,2.44,overcast clouds
136,Pangnirtung,CA,66.1451,-65.7125,-10.86,82,4,4.27,clear sky
137,Trindade,BR,-16.6494,-49.4889,69.06,93,88,3.89,overcast clouds
138,Corinth,GR,37.9407,22.9573,59.68,68,30,11.01,scattered clouds
139,Narsaq,GL,60.9167,-46.05,19.62,85,78,3.49,broken clouds
140,Shadrinsk,RU,56.0852,63.6335,6.98,93,5,5.68,clear sky
141,Namibe,AO,-15.1961,12.1522,69.82,79,44,8.66,scattered clouds
142,Kangaatsiaq,GL,68.3065,-53.4641,22.33,84,89,1.7,overcast clouds
143,Cabo San Lucas,MX,22.8909,-109.9124,74.52,76,1,4.61,clear sky
144,Fraga,ES,41.5229,0.3489,43.63,88,7,2.73,clear sky
145,Garowe,SO,8.4054,48.4845,68.27,77,5,7.87,clear sky
146,Avera,US,33.194,-82.5271,63.72,85,100,14.09,light rain
147,Beira,MZ,-19.8436,34.8389,76.24,93,33,5.03,scattered clouds
148,Upernavik,GL,72.7868,-56.1549,3.97,89,100,10.07,overcast clouds
149,Saint-Philippe,RE,-21.3585,55.7679,76.55,80,85,11.72,light rain
150,Rafai,CF,4.95,23.9167,74.32,42,100,3.94,overcast clouds
151,Santiago,CL,-33.4569,-70.6483,62.85,65,20,8.05,few clouds
152,Pisco,PE,-13.7,-76.2167,65.01,88,0,14.97,clear sky
153,Camacha,PT,33.0833,-16.3333,62.02,77,40,8.05,scattered clouds
154,Margate,GB,51.3813,1.3862,52.97,91,99,1.99,overcast clouds
155,Rapid Valley,US,44.0625,-103.1463,40.05,52,1,1.99,clear sky
156,Oktyabrskiy,RU,54.4815,53.471,11.93,91,5,4.52,clear sky
157,Harper,LR,4.375,-7.7169,78.94,83,19,7.87,few clouds
158,Huilong,CN,31.8111,121.655,53.04,79,100,13.89,overcast clouds
159,Okhotsk,RU,59.3833,143.3,2.68,79,100,14.88,overcast clouds
160,Fairbanks,US,64.8378,-147.7164,-3.78,76,75,4.61,light snow
161,Jawhar,SO,2.7809,45.5005,72.64,88,5,10.69,clear sky
162,Aklavik,CA,68.2191,-135.0107,-1.48,93,100,19.53,overcast clouds
163,Oksfjord,NO,70.2396,22.3479,32.92,78,100,11.79,overcast clouds
164,Nanyuki,KE,0.0167,37.0728,51.58,82,67,4.21,broken clouds
165,Sao Filipe,CV,14.8961,-24.4956,74.41,71,60,5.88,broken clouds
166,Axim,GH,4.8699,-2.2405,79.05,86,13,5.46,few clouds
167,Haines Junction,CA,60.7522,-137.5108,3.2,97,100,4.14,overcast clouds
168,Tazovskiy,RU,67.4667,78.7,-12.66,84,100,6.26,overcast clouds
169,Arraial Do Cabo,BR,-22.9661,-42.0278,74.32,93,100,18.05,overcast clouds
170,Codrington,AU,-38.2667,141.9667,77.99,33,6,9.71,clear sky
171,Kharp,RU,66.8014,65.8081,12.27,90,100,6.85,overcast clouds
172,Bukama,CD,-9.2,25.85,67.66,93,96,3.36,overcast clouds
173,Plouzane,FR,48.3833,-4.6167,53.78,94,90,11.5,overcast clouds
174,Olinda,BR,-8.0089,-34.8553,82.13,69,40,8.05,scattered clouds
175,Phetchaburi,TH,12.9667,99.5833,75.79,60,7,5.48,clear sky
176,Da Nang,VN,16.0678,108.2208,75.18,83,75,4.61,broken clouds
177,Panuco,MX,22.05,-98.1667,71.78,48,95,19.44,overcast clouds
178,Cockburn Town,TC,21.4612,-71.1419,80.67,70,0,22.37,clear sky
179,Bandarbeyla,SO,9.4942,50.8122,76.84,79,63,19.73,light rain
180,Pervomayskoye,RU,43.919,46.7102,34.27,90,17,4.09,few clouds
181,Port-Gentil,GA,-0.7193,8.7815,78.19,88,100,13.15,overcast clouds
182,Sambava,MG,-14.2667,50.1667,72.5,77,85,6.87,overcast clouds
183,Biltine,TD,14.5333,20.9167,70.32,20,11,11.59,few clouds
184,Ngunguru,NZ,-35.6167,174.5,73.17,88,100,9.26,light rain
185,Westport,US,41.1415,-73.3579,65.89,94,90,5.01,light rain
186,Baiyin,CN,36.5583,104.2081,24.94,59,2,6.78,clear sky
187,San Severo,IT,41.6897,15.376,47.41,66,100,21.83,light rain
188,Kendari,ID,-3.945,122.4989,89.01,60,99,2.57,overcast clouds
189,Inongo,CD,-1.95,18.2667,72.18,92,100,2.77,overcast clouds
190,Ponta Delgada,PT,37.7333,-25.6667,65.5,100,75,19.57,broken clouds
191,Teya,RU,60.3778,92.6267,5.9,98,100,2.82,overcast clouds
192,Popondetta,PG,-8.7537,148.2534,92.28,54,92,6.53,overcast clouds
193,Constitucion,CL,-35.3333,-72.4167,51.87,87,0,7.36,clear sky
194,Aykhal,RU,66.0,111.5,-36.78,100,45,1.28,scattered clouds
195,Tuatapere,NZ,-46.1333,167.6833,59.83,40,0,8.86,clear sky
196,San Nicolas,PH,18.1725,120.5953,82.94,60,55,7.27,broken clouds
197,Kostomuksha,RU,64.571,30.5767,23.14,93,100,6.6,overcast clouds
198,Majene,ID,-3.5403,118.9707,77.56,89,99,3.33,moderate rain
199,Tiksi,RU,71.6872,128.8694,-16.04,99,99,3.89,overcast clouds
200,Kismayo,SO,-0.3582,42.5454,79.75,80,10,13.58,clear sky
201,Guangyuan,CN,32.442,105.823,45.88,59,1,5.08,clear sky
202,Sur,OM,22.5667,59.5289,67.64,68,0,2.84,clear sky
203,Bajil,YE,15.0584,43.2851,73.33,64,0,1.45,clear sky
204,Meulaboh,ID,4.1363,96.1285,79.72,83,34,2.68,scattered clouds
205,Crystal Beach,CA,42.8699,-79.0583,41.07,68,64,30.49,broken clouds
206,Zhigansk,RU,66.7697,123.3711,-10.26,98,100,8.99,overcast clouds
207,Torbay,CA,47.6666,-52.7314,35.76,94,100,5.01,overcast clouds
208,Kavieng,PG,-2.5744,150.7967,83.84,76,100,7.65,moderate rain
209,Hami,CN,42.8,93.45,22.03,39,0,1.25,clear sky
